Biological Replicate,Group,MouseID,SI Time with stranger (s),SI Visit Ratio to Stranger (%),SI Total Distance (cm),SI Moving Speed (cm s-1),YM Re-entry Ratio,YM Alternation Rate,YM Total Distance (cm),YM Moving Speed (cm s-1),YM Center Region Time (s),EPM Open Arm Time (%),EPM Open Arm Entries (%),OF Center Region (%),OF Total Distance (cm),OF Total Movement Duration (s),OF Total Movement Episode No.,OF Moving Speed (cm s-1)
1,VPA,1,157,0.543478261,3139.53,11.41,15,44.44,1521.48,8.58,175,17.90993469,41.17647059,11.79,4879.89,405,267,10.31
1,VPA,2,90,0.596153846,1963.23,8.95,16.66666667,37.5,1401.99,8.08,133.5,17.80868385,38.02816901,15.33,8501.1,634,382,12.4
1,VPA,3,190.5,0.644444444,2744.41,10.15,20.83333333,40.91,1759.88,9.45,123.5,11.15688294,37.93103448,11.79,6488.97,560,365,10.27
1,VPA,4,205,0.645833333,2895.84,10.99,66.66666667,14.29,819.24,5.63,99.5,5.461329715,40,14.21,4384.91,401,319,9.17
1,WT,5,187.5,0.568181818,2744.22,11.1,11.76470588,53.33,1236.51,7.89,186.5,1.973460361,25,4.67,2318.9,196.5,147,9.47
1,WT,6,200,0.368421053,2457.88,11.6,11.76470588,53.33,1302.9,7.88,145,3.486423064,24,9.62,5071.5,433,308,9.86
1,WT,7,249.5,0.6875,2907.29,11.07,6.25,85.71,1316.51,7.58,91,15.94152454,54.83870968,10.87,5277.16,421,280,10.73
1,WT,8,431,0.657142857,2478.88,10.46,9.090909091,65,1621.77,8.65,146,4.258150366,34.48275862,4.08,4425.68,349,253,10.75
2,VPA,9,139,0.736842105,1725.3,10.25,15.78947368,52.94,1514.63,8.89,100.5,18.94288755,49.01960784,16.37,7847.79,625,375,11.41
2,VPA,10,285,0.547619048,2197.95,9.04,0,76.92,1331.45,8.47,129,13.66120219,43.18181818,13.29,6274.64,517.5,378,10.59
2,VPA,11,136.5,0.625,1636.29,9.2,5.882352941,73.33,1369.11,8.08,109,8.948087432,40.54054054,14.04,7707.57,628,392,11.14
2,VPA,12,100,0.638297872,2085.47,9.3,21.42857143,50,1221.41,7.89,128,11.02581996,40,12.29,7863.95,618,382,11.6
2,WT,13,275.5,0.627906977,2589.84,12.73,0,64.29,1264.41,7.87,84,1.846785226,25.92592593,8.83,6504.7,467.5,352,12.27
2,WT,14,247.5,0.571428571,2109.36,10.2,14.81481481,44,1826.51,9.78,113,6.02158023,34.7826087,11.58,7836.6,608.5,394,11.66
3,VPA,15,114,0.675675676,2312.57,9.45,11.11111111,71.43,1000.14,7.5,77,17.98960139,47.27272727,21.46,9701.58,708,375,12.83
3,VPA,16,232.5,0.625,1811.84,9.95,14.28571429,33.33,1194.87,8.81,118.5,14.91197791,50,16.79,8849.55,672,389,12.19
3,VPA,17,260.5,0.566666667,1979.52,8.52,11.76470588,53.33,1190.24,9.13,113,5.780933063,32,10.96,7971.91,634.5,355,11.6
3,WT,18,306,0.677419355,1907.93,9.13,0,75,1514.19,8.93,118.5,6.5807327,21.42857143,12.17,8351.53,651,390,11.76
3,WT,19,234.5,0.575757576,2621.67,11.28,3.703703704,68,2111.43,10.73,110.5,8.858543417,36.11111111,17.62,7539.26,584.5,384,11.68
3,WT,20,462,0.8,1118.91,7.95,0,83.33,1312.51,8.37,86.5,16.68393782,50,12.12,7297.45,534,368,12.23
3,WT,21,233.5,0.6,2403.99,10.14,14.28571429,31.58,1922.18,9.68,96,11.13445378,34.28571429,11.04,6612.35,594,433,9.78
3,WT,22,287,0.717948718,2431.94,10.55,0,72.22,1690.12,10.06,144.5,12.1340388,39.39393939,15.21,9603.72,677,380,13.19
