Metric,Depth_bin,Pearson_r,p_value
Exc_density,0-10%,0.4986194566586075,0.018174879925604664
Exc_density,10-20%,0.6474897345959805,0.0011232794634018313
Exc_density,20-40%,0.529632639095182,0.011244409220930085
Exc_density,40-70%,0.40084371969240007,0.06448987815802527
Exc_density,70-100%,0.12196927187337306,0.5887016111500152
Inh_density,0-10%,-0.2884756900604119,0.19292432301521018
Inh_density,10-20%,-0.4440194471587603,0.03844004818467736
Inh_density,20-40%,-0.43004679582129907,0.045752656270983114
Inh_density,40-70%,-0.4857813978969557,0.021903042688597444
Inh_density,70-100%,-0.5204604088451907,0.013019021779683455
