Group,MouseID,Density of PSD-95 (10% Depth),Density of gephyrin (10% Depth),YM Alternation Rate,YM Re-entry Ratio,SI Time with stranger,OF Total Distance,OF Center Region,EPM Open Arm Time,PC1,PC2,Z_Distance,Resilient,Z_Resilient_Label,Density of PSD-95 (0% Depth),Density of PSD-95 (60% Depth),Density of PSD-95 (90% Depth),Density of gephyrin (0% Depth),Density of gephyrin (60% Depth),Density of gephyrin (90% Depth)
VPA,1,187.9814583,34.75625,44.44,15,157,4879.89,11.79,17.90993469,1.638765093,0.149644439,3.36540633,FALSE,VPA non resilient,156.0903125,141.1316667,114.0547917,37.613125,22.06010417,22.27666667
VPA,2,192.6153125,34.48041667,37.5,16.66666667,90,8501.1,15.33,17.80868385,2.424157573,-1.435264317,5.011879539,FALSE,VPA non resilient,169.6345313,155.2353125,115.1540104,66.18765625,28.45463542,26.9521875
VPA,3,183.8584375,27.99003472,40.91,20.83333333,190.5,6488.97,11.79,11.15688294,1.772956598,0.336392603,3.417737345,FALSE,VPA non resilient,155.5182986,132.7930208,95.81621528,40.02597222,19.70010417,15.37350694
VPA,4,198.6895833,28.48776042,14.29,66.66666667,205,4384.91,14.21,5.461329715,4.568405064,2.287339881,5.478458783,FALSE,VPA non resilient,222.6541146,138.6190625,97.74572917,42.5559375,22.22197917,16.96020833
WT,5,172.7339236,49.00673611,53.33,11.76470588,187.5,2318.9,4.67,1.973460361,-0.546601628,3.356889881,-0.613980088,TRUE,nan,185.980625,144.6919097,103.7911458,72.95611111,43.29149306,35.20552083
WT,6,180.9533681,50.37496528,53.33,11.76470588,200,5071.5,9.62,3.486423064,-0.18274507,1.802584631,0.559201998,TRUE,nan,185.0829514,134.6476736,100.6432986,59.17840278,38.63038194,33.83711806
WT,7,169.2863021,43.52447917,85.71,6.25,249.5,5277.16,10.87,15.94152454,-1.2080265,-0.117911656,0.406428433,TRUE,nan,165.74125,120.3920313,99.01661458,65.96005208,31.23630208,28.10817708
WT,8,179.6667708,47.63302083,65,9.090909091,431,4425.68,4.08,6.809795371,-1.682215382,2.762737992,-1.550409865,TRUE,nan,203.5905208,136.5582292,88.10885417,47.9928125,35.78833333,26.5596875
VPA,9,166.9705833,36.9641875,52.94,15.78947368,139,7847.79,16.37,18.94288755,0.92790678,-1.810687634,3.574172231,FALSE,VPA non resilient,187.1236667,110.8022708,84.99260417,47.3055,29.07947917,24.18470833
VPA,10,154.4059896,23.99390625,76.92,0,285,6274.64,13.29,13.66120219,-0.993937362,-0.916600387,1.038738475,TRUE,VPA resilient,146.0466146,107.0445833,67.09177083,35.09796875,18.27697917,15.55541667
VPA,11,165.2720313,31.1121875,73.33,5.882352941,136.5,7707.57,14.04,8.948087432,-0.07512459,-0.993119589,2.075272187,FALSE,VPA non resilient,184.239375,125.5063021,88.24734375,44.40786458,25.80989583,20.83088542
VPA,12,188.2972917,37.26651042,50,21.42857143,100,7863.95,12.29,11.02581996,1.70781058,-0.235660078,3.633251049,FALSE,VPA non resilient,181.0494271,116.3839844,86.15210938,56.45820313,22.44671875,19.75523438
WT,13,159.3320313,56.14770833,64.29,0,275.5,6504.7,8.83,1.846785226,-2.266400036,1.351717866,-1.478930431,TRUE,nan,147.06625,107.2245833,91.91296875,66.88739583,38.205,34.16958333
WT,14,157.775625,43.37291667,44,14.81481481,247.5,7836.6,11.58,6.02158023,-0.409090185,0.360808751,1.034846193,TRUE,nan,130.5065625,110.6579167,80.02125,55.83364583,36.11885417,28.79208333
VPA,15,172.5507292,38.27005208,71.43,11.11111111,114,9701.58,21.46,17.98960139,0.696164361,-3.267942247,4.051699091,FALSE,VPA non resilient,160.0304687,123.6788542,86.61619792,43.6840625,27.81578125,20.62057292
VPA,16,187.1190972,51.95243056,33.33,14.28571429,232.5,8849.55,16.79,14.91197791,0.916329382,-1.006012405,3.158883846,FALSE,VPA non resilient,208.3627431,152.5057639,116.3199653,66.73506944,30.0090625,23.85135417
VPA,17,184.3588194,36.95934028,53.33,11.76470588,260.5,7971.91,10.96,5.780933063,0.280557235,0.505557414,1.711668186,TRUE,VPA resilient,196.8291667,146.5976389,126.7409028,54.87090278,30.27368056,28.15638889
WT,18,162.5805208,45.17777778,75,0,306,8351.53,12.17,6.5807327,-1.891758366,-0.289261506,-0.250653732,TRUE,nan,163.14125,123.5296528,119.7272569,59.95607639,38.38524306,37.97423611
WT,19,151.7885677,51.3703125,68,3.703703704,234.5,7539.26,17.62,8.858543417,-1.562889507,-1.095736639,0.510254863,TRUE,nan,166.9508594,124.4608854,104.7582292,65.59752604,40.73270833,35.38658854
WT,20,160.1729167,47.72401042,83.33,0,462,7297.45,12.12,16.68393782,-2.736343607,-0.642370213,-0.991530505,TRUE,nan,166.9597917,123.1917708,109.5091146,59.47197917,38.0025,37.83755208
WT,21,154.2957813,39.28088542,31.58,14.28571429,233.5,6612.35,11.04,11.13445378,0.113970664,0.347152993,1.609956748,TRUE,nan,159.0915625,117.1759896,102.7631771,57.73609375,31.09375,31.59869792
WT,22,170.7736458,51.28041667,72.22,0,287,9603.72,15.21,12.1340388,-1.491891095,-1.45025978,0.764816386,TRUE,nan,178.5746875,132.2633333,116.6780208,58.99625,37.913125,31.92177083
