Mouse ID,Group,Excercise,Count_X,Count_Y,Open Arm Time (%),Count_X_crossings,Count_Y_crossings,Open Arm Entries (%)
1,VPA,(-),477.6,104.2,17.90993469,20,14,41.17647059
2,VPA,(-),484.6,105,17.80868385,44,27,38.02816901
3,VPA,(-),517.6,65,11.15688294,18,11,37.93103448
4,VPA,(-),557.4,32.2,5.461329715,9,6,40
5,WT,(-),576.2,11.6,1.973460361,18,6,25
6,WT,(-),575.8,20.8,3.486423064,19,6,24
7,WT,(-),483,91.6,15.94152454,14,17,54.83870968
8,WT,(-),575.6,25.6,4.258150366,19,10,34.48275862
9,VPA,(-),457,106.8,18.94288755,26,25,49.01960784
10,VPA,(-),505.6,80,13.66120219,25,19,43.18181818
11,VPA,(-),533.2,52.4,8.948087432,22,15,40.54054054
12,VPA,(-),510,63.2,11.02581996,30,20,40
13,WT,(-),574,10.8,1.846785226,20,7,25.92592593
14,WT,(-),540,34.6,6.02158023,30,16,34.7826087
15,VPA,(-),473.2,103.8,17.98960139,29,26,47.27272727
16,VPA,(-),493,86.4,14.91197791,20,20,50
17,VPA,(-),557.4,34.2,5.780933063,17,8,32
18,WT,(-),550.8,38.8,6.5807327,11,3,21.42857143
19,WT,(-),520.6,50.6,8.858543417,23,13,36.11111111
20,WT,(-),482.4,96.6,16.68393782,13,13,50
21,WT,(-),507.6,63.6,11.13445378,23,12,34.28571429
22,WT,(-),498.2,68.8,12.1340388,20,13,39.39393939
23,VPA,(+),541.4,39.4,6.783746556,17,10,37.03703704
24,VPA,(+),487.6,64.8,11.73062998,29,12,29.26829268
25,VPA,(+),441,114,20.54054054,30,25,45.45454545
26,WT,(+),482.4,102.4,17.51025992,17,12,41.37931034
27,WT,(+),448.6,136.2,23.29001368,19,19,50
28,WT,(+),373.4,159.6,29.94371482,31,21,40.38461538
