Group,MouseID,Density of PSD-95 (10% Depth),Density of gephyrin (10% Depth),YM Alternation Rate,YM Re-entry Ratio,SI Time with stranger,OF Total Distance,OF Center Region,EPM Open Arm Time
VPA Control,1,187.9814583,34.75625,44.44,15,157,4879.89,11.79,17.90993469
VPA Control,2,192.6153125,34.48041667,37.5,16.66666667,90,8501.1,15.33,17.80868385
VPA Control,3,183.8584375,27.99003472,40.91,20.83333333,190.5,6488.97,11.79,11.15688294
VPA Control,4,198.6895833,28.48776042,14.29,66.66666667,205,4384.91,14.21,5.461329715
WT Control,5,172.7339236,49.00673611,53.33,11.76470588,187.5,2318.9,4.67,1.973460361
WT Control,6,180.9533681,50.37496528,53.33,11.76470588,200,5071.5,9.62,3.486423064
WT Control,7,169.2863021,43.52447917,85.71,6.25,249.5,5277.16,10.87,15.94152454
WT Control,8,179.6667708,47.63302083,65,9.090909091,431,4425.68,4.08,6.809795371
VPA Control,9,166.9705833,36.9641875,52.94,15.78947368,139,7847.79,16.37,18.94288755
VPA Control,10,154.4059896,23.99390625,76.92,0,285,6274.64,13.29,13.66120219
VPA Control,11,165.2720313,31.1121875,73.33,5.882352941,136.5,7707.57,14.04,8.948087432
VPA Control,12,188.2972917,37.26651042,50,21.42857143,100,7863.95,12.29,11.02581996
WT Control,13,159.3320313,56.14770833,64.29,0,275.5,6504.7,8.83,1.846785226
WT Control,14,157.775625,43.37291667,44,14.81481481,247.5,7836.6,11.58,6.02158023
VPA Control,15,172.5507292,38.27005208,71.43,11.11111111,114,9701.58,21.46,17.98960139
VPA Control,16,187.1190972,51.95243056,33.33,14.28571429,232.5,8849.55,16.79,14.91197791
VPA Control,17,184.3588194,36.95934028,53.33,11.76470588,260.5,7971.91,10.96,5.780933063
WT Control,18,162.5805208,45.17777778,75,0,306,8351.53,12.17,6.5807327
WT Control,19,151.7885677,51.3703125,68,3.703703704,234.5,7539.26,17.62,8.858543417
WT Control,20,160.1729167,47.72401042,83.33,0,462,7297.45,12.12,16.68393782
WT Control,21,154.2957813,39.28088542,31.58,14.28571429,233.5,6612.35,11.04,11.13445378
WT Control,22,170.7736458,51.28041667,72.22,0,287,9603.72,15.21,12.1340388
VPA Exercise,23,188.7686979,51.541875,70,0,223,8439.51,16.04,6.783746556
VPA Exercise,24,186.1688889,37.80298611,71.43,0,276,7525.55,18.17,11.73062998
VPA Exercise,25,185.5152431,43.30173611,47.37,4.761904762,262,8199.77,22.12,20.54054054
WT Exercise,26,164.2028646,48.48484375,15.79,19.04761905,284.5,8728.23,17.58,17.51025992
WT Exercise,27,183.1526042,56.84920139,39.13,12,271,11923.66,28,23.29001368
WT Exercise,28,151.5748264,51.07982639,36.84,14.28571429,180,6403.82,19.33,29.94371482
